State,Cost of Living Index 2024
Hawaii,186.9
Massachusetts,145.9
California,144.8
District of Columbia,141.9
Alaska,123.8
New York,123.3
Maryland,115.3
New Jersey,114.6
Vermont,114.4
Washington,114.2
New Hampshire,112.6
Connecticut,112.3
Rhode Island,112.2
Maine,112.1
Oregon,112.0
Arizona,111.5
Utah,104.9
Florida,102.8
Colorado,102.0
Idaho,102.0
Nevada,101.3
Delaware,100.8
Virginia,100.7
North Carolina,97.8
Wisconsin,97.0
South Carolina,95.9
Wyoming,95.5
Minnesota,95.1
Pennsylvania,95.1
Montana,94.9
Illinois,94.4
Ohio,94.2
New Mexico,93.3
Nebraska,93.1
Kentucky,93.0
Texas,92.7
Louisiana,92.2
South Dakota,92.2
North Dakota,91.9
Georgia,91.3
Indiana,90.5
Tennessee,90.5
Michigan,90.4
Iowa,89.7
Arkansas,88.7
Missouri,88.7
Alabama,88.0
Mississippi,87.9
Kansas,87.0
Oklahoma,85.7
West Virginia,84.1
